Name,Address,Neighborhood,Nearest Airport,Size,Room Style,Vibe,Icon Tags,Description,Insider Tip,Virtuoso Traveler Receives,At the Hotel,Reviews
Kempinski Palace Portoroz,"Obala 45, Portoroz, Slovenia",,,,,,"Wellness, Golf, Beach","For guests of the legendary Kempinski Palace Portoroz, everything feels like a royal treat. The 182-room belle epoque hotel features a striking modern annex and the Rose Spa. Portoroz is famous for its rich spa tradition, and no stay is complete without experiencing the spa’s extensive menu of well-known luxury brands and revitalizing treatments. Foodies will find gourmet cuisine mixed with timeless glamour at Restaurant Sophia (named for iconic guest Sophia Loren). Laze away an afternoon by the indoor/outdoor pool or the newly designed Palace Beach, or take a boat excursion along the alluring Adriatic Coast and visit Venice.",,,,{}
Kenoa Exclusive Beach Spa & Resort,"Rua Escritor Jorge de Lima, 58, Barramar, Barra de Sao Miguel, Brazil",,Palmares (MCZ) - 19 mi/31 km,23 rooms,Indigenous,Casual,"Beach, Wellness, Seclusion","At Kenoa – Exclusive Beach Spa & Resort, the details make the difference. Details like the authentic, personal service that makes you feel right at home. Or a soak in your suite’s traditional Japanese ofuro tub, its fragrant cedarwood soothing away any cares. Set amid pristine rain forest with panoramic views of the Atlantic, this eco-chic hideaway is intimate and unobtrusive – just 23 contemporary suites and villas, made of sustainable materials, are strategically scattered for the ultimate in privacy. The beaches are also scarcely touched and, luckily for you, some of the best in Brazil.","The Beachfront Villas feature indoor gardens, terrace gardens with outdoor showers, and infinity-edge plunge pools that appear to spill into the sea.","Virtuoso travelers receive:

- Upgrade on arrival, subject to availability (Marajo villa to Jaobi villa only)
- Daily Full breakfast for up to two guests per bedroom, served in the restaurant
- A complimentary 50-minute massage for up to two people, once during stay (must have minimum value of $100 USD equivalent)
- Early Check-In / Late Check-Out subject to availability
- Complimentary Wi-Fi

Note: Many of these perks and amenities are only available when you book your stay through a Virtuoso travel advisor.","At the Hotel

Features
- 24-hour Security
- Air Conditioning
- Complimentary Parking
- Conference Facilities
- Culinary Program
- Internet Access
- Lounge/Bar
- Multi-lingual Staff
- Parking
- Restaurant
- Villas
In Your Room
- Bathrobes
- Butler Service
- Hair Dryer
- Mini Bar
- Safe
- Slippers
Recreation
- Fitness Center
- Jacuzzi/Whirlpool
- Pool
- Sauna
- Spa
- Water Sports
Services
- Babysitting Services
- Concierge Desk
- Currency Exchange
- House Safe
- Housekeeping -- Twice Daily
- Laundry/Dry Cleaning/Pressing
- Room Service
- Room Service 24-hours
- Turndown Service
- Valet Parking
- Wakeup Calls
- Wedding Services
","{'recommended_percentage': '100', 'reviews': [{'recommended': True, 'review_date': '10 Feb 2024', 'headline': 'Kenoa', 'reviewer_name': 'By: Onomatsu', 'review_content': 'A marvelous hotel. The staff are kind, helpful and they know what you want before you do. Great Brazilian food and the wait staff are most professional. Beautiful rooms, tastefully appointed right on the beach.'}]}"
Keswick Hall,"701 Club Drive, Keswick, Virginia, United States",,Albemarle (CHO) - 9 mi/14 km,80 rooms,Contemporary,Sophisticated,"Golf, Landmarks, Local Immersion","A historic landmark in the heart of Virginia’s Piedmont region, the 80-room Keswick Hall has reopened its doors following a major renovation, including a new guest wing, infinity pool, red clay tennis courts, and a signature restaurant serving seasonal, sustainable dishes from the onsite farm. Surrounded by the Blue Ridge Mountains and more than 30 sprawling vineyards, the resort brings the beauty of the outside in with locally inspired photography and custom blended red flower bath products.","Tee off on the resort’s 18-hole, award-winning golf course, Full Cry, one of the last courses designed by the late Pete Dye.","Virtuoso travelers receive:

- Upgrade on arrival, subject to availability
- Daily Full Breakfast for up to two guests per bedroom, served in the restaurant
- $100 USD Resort or Hotel credit to be utilized during stay (not combinable, not valid on room rate, no cash value if not redeemed in full)
- Early Check-In / Late Check-Out, subject to availability
- Complimentary Wi-Fi

Note: Many of these perks and amenities are only available when you book your stay through a Virtuoso travel advisor.","At the Hotel

Features
- 24-hour Security
- Air Conditioning
- Banquet Facilities
- Complimentary Parking
- Conference Facilities
- Connecting Rooms
- Internet Access
- Library
- Lounge/Bar
- Michelin Star Restaurant
- Multi-lingual Staff
- Parking
- Pet Friendly
- Restaurant
- Wheelchair Accessible
In Your Room
- Bathrobes
- Complimentary Coffee/Tea
- Complimentary Newspaper
- Hair Dryer
- Iron/Ironing Board
- Mini Bar
- Safe
- Slippers
Recreation
- Bicycle Rental
- Fitness Center
- Golf
- Pool
- Sauna
- Spa
- Tennis Courts
Services
- Concierge Desk
- Hearing Impaired Services
- Housekeeping -- Twice Daily
- Room Service
- Turndown Service
- Valet Parking
- Wakeup Calls
- Wedding Services
","{'recommended_percentage': '100', 'reviews': [{'recommended': True, 'review_date': '04 Sep 2023', 'headline': 'Keswick Getaway', 'reviewer_name': 'By: Nikki', 'review_content': 'Keswick is a lovely resort and our favorite spot for a weekend getaway. You must experience the spa…perfect for rest and relaxation.'}, {'recommended': True, 'review_date': '13 May 2023', 'headline': 'Fabulous renovation', 'reviewer_name': 'By: Amy', 'review_content': 'I love the new hotel.  The pool and the food are outstanding.  The rooms are quite nice.  I wish they were a little better about early check in and late check out but I know they have time constraints for next guests.  We will be back .'}, {'recommended': True, 'review_date': '22 Jan 2023', 'headline': 'Phenomenal', 'reviewer_name': 'By: Alisson', 'review_content': 'This is our favorite hotel in Virginia. Five star service. The hotel is beautifully finished.'}, {'recommended': True, 'review_date': '20 Oct 2022', 'headline': 'How Have I Missed This Place?', 'reviewer_name': 'By: TKC', 'review_content': 'My husband and I really loved our getaway to Keswick Hall. Wow! The place is beautiful! Nothing overlooked in the rooms….really comfortable and beautifully done. The hotel and grounds are immaculate and I loved the decor. Restaurant had a couple blips with service, but would never keep us from returning. Overall, loved this place and look forward to returning.'}]}"
Kimpton Charlotte Square Hotel,"38 Charlotte Square, Edinburgh, Scotland, United Kingdom",,,,,,"City Life, Local Immersion, Wellness","Far from Edinburgh’s crowded streets (and overlooking the city’s most beautiful private garden squares) is Kimpton Charlotte Square Hotel. Comprised of seven interconnected Georgian townhouses, the newly renovated hotel employs rich woods, plush fabrics, and pops of color – including a smart use of tartan plaid to create a sophisticated, yet comfortable appeal. Step into the glass-topped courtyard for afternoon tea or unwind with a bespoke cocktail in Aizle before tucking into a six-course meal. For smaller group travel, enjoy the exclusivity of the No.33 Townhouse - a 12 guest  room Georgian Townhouse.",,,,{}
Kimpton Maa-Lai Bangkok,"78 Soi Ton Son, Lumphini, Pathum Wan District, Bangkok, Thailand",,,,,,"Local Immersion, City Life, Wellness","Whether you come to Bangkok seeking food, fashion, or your fill of the city’s vibrant nightlife, Kimpton Maa-Lai is your perfect home base. Enjoy rooms, suites, and residences with luxury amenities like oversized tubs and artisan-made robes. Feast on farm-to-plate favorites at the neighborhood-inspired grocerant, Stock.Room or sip tropical concoctions at the sky-high rooftop venue, Bar.Yard. Perhaps indulge in a little TLC at the HARNN Heritage Spa after shopping (or clubbing) ‘til you drop. Breathe easy in our purposely landscaped green-lung, an oasis in the sprawling city, with garden paths and seats-in-shade to plan your next adventure.",,,,{}
"Kimpton Seafire Resort + Spa, Grand Cayman","60 Tanager Way, Grand Cayman, Cayman Islands",,,,,,"Beach, Local Immersion, Wellness","Kimpton Seafire Resort + Spa, awarded Forbes 5 Star, and the island’s only AAA Five Diamond lifestyle resort – a paradise perched 24 feet above sea level, nestled in the white sand of Seven Mile Beach. Discover a world of flavors, from Mexican favorites to Mediterranean fare. Dine with your toes in the sand or above the treetops with sensational sunset views; taste-test authentic Spanish tapas at communal tables, or take a coveted seat at the chef’s counter. With luxurious facilities throughout, including an award-winning spa, lavish coed Jacuzzi, and the island’s only Turkish hammam, prepare to embark on the ultimate journey of restoration.",,,,{}
"Kimpton St. Honoré, Paris","27-29 Boulevard Des Capucines, Paris, France",,,,,,"Wellness, Local Immersion, City Life","With its Art Nouveau façade and idyllic location in the heart of the city, Kimpton St. Honore is an urban sanctuary that’s dedicated to classic Parisian luxury. Stay in one of the 175 apartment-style rooms and suites boasting balconies, floor-to-ceiling windows, and curated art. Savor California cuisine with a French twist at Montecito Restaurant (try the langoustine tostadas). And indulge in craft cocktails and 360-degree views at the elegant Sequoia Rooftop Bar.",,,,{}
Kimpton Vividora Barcelona,"Carrer del Duc, 15, Barcelona, Spain",,,,,,"City Life, Local Immersion, Landmarks","Kimpton Vividora Hotel is a design lover’s dream, from the warm, earthy tones of the 156 residential-style guestrooms and suites (some with private terraces and deep soaking tubs) to the lush greenery and sweeping views of the rooftop pool and bar. Guests can enjoy sharable plates at Fauna, therapeutic massages and rituals in the wellness rooms, and easy access to Las Ramblas, buzzing with museums, markets, galleries, and cafés.",,,,{}
King David Jerusalem,"23 King David Street, Jerusalem, Israel",Heart of Jerusalem by Old City,Ben Gurion Intl (TLV) - 25 mi/40 km,233 rooms,Classic,Sophisticated,"Landmarks, City Life, Local Immersion","The preferred hotel for world leaders and celebrities, and the official venue for state occasions, the King David Hotel Jerusalem offers unrivaled views of Old and New Jerusalem. The Canaanite art deco rooms are legendary; guest rooms are warm and inviting (the best view is from the renovated rooms on the top two floors facing the Old City). Lovely gardens surround the lawns with adult and children’s swimming pools, a tennis court, and a play area. Dining in the richly appointed La Regence restaurant is a classic experience, as is the complimentary generous Israeli buffet breakfast. Enjoy free Wi-Fi in all rooms and public areas.",The Reading Room’s ornate table was transported to the Sea of Galilee in 1994 for the signing of the historic peace treaty between Israel and Jordan.,"Virtuoso travelers receive:

- Upgrade on arrival, subject to availability
- Daily Full Breakfast for up to two guests per bedroom
- $100 USD equivalent Food & Beverage credit to be utilized during stay (not applicable in the ""Grill Room"" restaurant; not combinable, no cash value if not redeemed in full)
- Early Check-In / Late Check-Out, subject to availability
- Complimentary Wi-Fi

Note: Many of these perks and amenities are only available when you book your stay through a Virtuoso travel advisor.","At the Hotel

Features
- Business Center
- Complimentary Parking
- Internet Access
- Lounge/Bar
- Restaurant
In Your Room
- Butler Service
Recreation
- Fitness Center
- Pool
- Spa
- Tennis Courts
Services
- Car Rental Desk
- Concierge Desk
- Room Service 24-hours
- Salon
",{}
"King George, a Luxury Collection Hotel, Athens","3, Vasileos Georgiou A, St., Syntagma Square, Athens, Greece",,,,,,"Local Immersion, City Life, Landmarks","Located in the center of Athens since 1930, King George represents the absolute essence of a fascinating boutique hotel. The hotel features 102 rooms and suites and incomparable views of the Parthenon. Penthouse Suite guests also enjoy the unique experience of having a private outdoor pool. Located on the seventh floor, the Tudor Hall Restaurant features neoclassical décor, unrivaled views of the Acropolis, Modern Greek cuisine and signature cocktails. The inviting environment of the King George is manifested at every turn, especially in the outstanding and personalized service.",,,,{}
Kisawa Sanctuary,"Benguerra Island, Inhambane Province, Vilanculos, Mozambique",,Vilanculos (VNX) - 13 mi/21 km,11 rooms,Contemporary,Zen,"Seclusion, Beach, Ecotourism","Home to some of the richest subtropical ecosystems, Kisawa Sanctuary’s mission is to bring wilderness and well-being together. Feel the healing energies of the island with a complimentary welcome treatment or therapeutic massage ritual. Savor fresh ingredients sourced from farmers and fishermen within the Inhambane province. And stay in one of the 11 secluded residences, each with a private beach, infinity pool, and open-air deck overlooking the resort’s dreamy 300-hectare property.",Go snorkeling with sea turtles on the Kisawa reefs or sail to Bazaruto Island for a chance to see one of the 200 dugongs left in the region.,"Virtuoso travelers receive:

- Upgrade not applicable for this property
- Daily Full breakfast for up to two guests per bedroom, served in the restaurant and via in-room dining
- $100 USD equivalent in local currency Food & Beverage credit to be utilized during stay (not combinable, no cash value if not redeemed in full)
- One additional 60-minutes spa treatment, for two persons, during the stay (one is already included in the Kisawa guest experience for all guests)
- Early check-in / Late check-out, subject to availability
- Complimentary Wi-Fi

Note: Many of these perks and amenities are only available when you book your stay through a Virtuoso travel advisor.","At the Hotel

Features
- 24-hour Security
- Air Conditioning
- All-inclusive
- Culinary Program
- Internet Access
- Lounge/Bar
- Meal Plans Available
- Multi-lingual Staff
- Restaurant
- Villas
In Your Room
- Bathrobes
- Butler Service
- Complimentary Coffee/Tea
- Hair Dryer
- Mini Bar
- Safe
- Slippers
Recreation
- Pool
- Spa
",{}
Kivotos Mykonos,"Ornos Bay, 84600, Mykonos, Greece",,Mikonos (JMK) - 1 mi/2 km,41 rooms,Eclectic,Sophisticated,"Seclusion, Beach, Wellness","You’ll be hard-pressed to decide what you love most about Kivotos. Is it the private, golden-sand beach, one of the loveliest on Mykonos? The seawater pool with a swim-up bar? Or perhaps the upper-level pool surrounded by fragrant gardens? Maybe it’s the sense of bliss you find with daily yoga classes, the relaxing hammam, or the therapeutic spa treatments. Truth be told, you’ll relish every moment in this refuge, with 39 suites and two villas that are designed to reflect the spirit of a family home and adorned with an impressive collection of objets d’art. Just-caught seafood in the candlelit veranda completes the experience.","The hotel offers private dining on its  secluded beach, just a few steps down from your Suite – the perfect location for wedding proposals and honeymooners.","Virtuoso travelers receive:

- Upgrade on arrival, subject to availability
- Daily Full breakfast for up to two guests per bedroom, served in the restaurant and via in-room dining
- $100 USD equivalent Resort or Hotel credit to be utilized during stay (not applicable at NERO NERO private beach restaurant; not combinable, not valid on room rate, no cash value if not redeemed in full)
- Complimentary roundtrip private airport transfer
- Early check-in / Late check-out, subject to availability
- Complimentary Wi-Fi

Note: Many of these perks and amenities are only available when you book your stay through a Virtuoso travel advisor.","At the Hotel

Features
- 24-hour Security
- Air Conditioning
- Banquet Facilities
- Business Center
- Complimentary Parking
- Conference Facilities
- Connecting Rooms
- Culinary Program
- Internet Access
- Library
- Lounge/Bar
- Meal Plans Available
- Multi-lingual Staff
- Parking
- Restaurant
- Shopping
- Villas
In Your Room
- Bathrobes
- Butler Service
- Complimentary Coffee/Tea
- Complimentary Newspaper
- Hair Dryer
- Mini Bar
- Safe
- Slippers
Recreation
- Bicycle Rental
- Fitness Center
- Jacuzzi/Whirlpool
- Pool
- Sauna
- Spa
- Water Sports
Services
- Babysitting Services
- Car Rental Desk
- Concierge Desk
- Currency Exchange
- House Safe
- Laundry/Dry Cleaning/Pressing
- Limousine Service
- Room Service
- Room Service 24-hours
- Salon
- Turndown Service
- Valet Parking
- Wakeup Calls
- Wedding Services
",{}
Kokomo Private Island Fiji,"Yaukuve Levu Island, Kadavu Island, PO Box 3558, Yaukuve Levu Island, Fiji",,Nadi International (NAN) - 101 mi/163 km,26 rooms,Contemporary,Casual,"Beach, Adventure, Seclusion","Cradled within the Great Astrolabe Reef, Kokomo Private Island is a paradise for adventure seekers, a restorative sanctuary for families and an enticing retreat for honeymooners. Fusing unscripted luxury with a bounty of space and generosity of time, this stunning unspoiled and naturally immaculate island is more than a backdrop, it’s your home for as long as you choose to linger. Explore one of the best dive and snorkelling locations on the planet, hike to a waterfall on a nearby island or relax in the Yaukuve Spa Sanctuary.","Guests can join Kokomo's resident marine biologists in a coral restoration project, helping with the transplantation of resilient super corals to ensure the reef’s lasting health.","Virtuoso travelers receive:

- Upgrade on arrival, subject to availability
- Daily Breakfast for up to two guests per bedroom (already included in hotel rates)
- $100 USD equivalent  Resort or Hotel credit to be utilized during stay (not combinable, not valid on room rate, no cash value if not redeemed in full)
- Early Check-In / Late Check-Out, subject to availability
- Complimentary Wi-Fi

Note: Many of these perks and amenities are only available when you book your stay through a Virtuoso travel advisor.","At the Hotel

Features
- 24-hour Security
- Air Conditioning
- Children's Programs
- Culinary Program
- Internet Access
- Lounge/Bar
- Restaurant
- Villas
In Your Room
- Bathrobes
- Butler Service
- Complimentary Coffee/Tea
- Hair Dryer
- Iron/Ironing Board
- Mini Bar
- Safe
- Slippers
Recreation
- Fitness Center
- Pool
- Spa
- Tennis Courts
- Water Sports
Services
- Babysitting Services
- Concierge Desk
- Housekeeping -- Twice Daily
- Laundry/Dry Cleaning/Pressing
- Room Service
- Room Service 24-hours
- Salon
- Turndown Service
- Wedding Services
","{'recommended_percentage': '100', 'reviews': [{'recommended': True, 'review_date': '27 Oct 2023', 'headline': 'Paradise', 'reviewer_name': 'By: Eunice B', 'review_content': 'We have been raving about Kokomo to all our friends and family and will be back! Everything was so well thought out - the villas are great, the island exceptional and the food was so delicious and diverse (not just the same cuisine that gets boring after a few days). The staff at Kokomo are so incredibly kind and helpful - really makes the place so magical. Luxury without pretension.'}, {'recommended': True, 'review_date': '04 Oct 2023', 'headline': 'Kokomo', 'reviewer_name': 'By: SEVE', 'review_content': 'Luxurious and relaxing'}, {'recommended': True, 'review_date': '03 Dec 2019', 'headline': 'Kokomo Private Island', 'reviewer_name': 'By: Alison', 'review_content': 'Loved our stay in Kokomo and have booked again for next year'}, {'recommended': True, 'review_date': '16 Aug 2019', 'headline': 'AMAZING SUMS IT UP', 'reviewer_name': 'By: MS', 'review_content': 'Beyond expectations! Everything about this property was top marks. We loved every single second there and while we do not like to go to the same place twice, might make an exception for this place. The options of activities were endless, the food unparalleled, team working there were the warmest, most interesting of any top tier hotel in the world (on site marine biologists, chefs from the best kitchens etc) and all happy to be there and share the island with the guests. Truly everything about the hotel was fantastic.'}]}"
"Kona Village, A Rosewood Resort","72 300 Maheawalu Drive, Kailua Kona, Hawaii, United States",,Kona International Airport (KOA) - 7 mi/11 km,150 rooms,Indigenous,Casual,"Local Immersion, Beach, Wellness","Kona Village has a storied past – one of the celebrity hideaways and legendary mai tais. Once a secluded sanctuary for the stars, the 150-thatched-roof-hale (or house) resort has been sustainably reopened to A-listers and leisurely beach-goers alike, boasting fresh Pacific Rim-to-table cuisine, décor commissioned from native artists, and spa treatments that usher you into a regenerative state of mental, physical, and spiritual harmony. Don’t miss the 3 p.m. coconut cart delivering refreshing drinks poolside.","Pull up a seat at Shipwreck Bar, the once-sunken sailboat lovingly salvaged from the depths of Kahuwai Bay, now a chic beachside destination for light bites and creatively-named cocktails.","Virtuoso travelers receive:

- Upgrade on arrival, subject to availability
- Daily breakfast for up to two guests per bedroom (already included in hotel rates)
- $100USD Resort or Hotel credit to be utilized during stay (not combinable, not valid on room rate, no cash value if not redeemed in full)
- Early Check-In / Late Check-Out, subject to availability
- Complimentary Wi-Fi

Note: Many of these perks and amenities are only available when you book your stay through a Virtuoso travel advisor.","At the Hotel

Features
- 24-hour Security
- Air Conditioning
- Children's Programs
- Complimentary Parking
- Conference Facilities
- Internet Access
- Lounge/Bar
- Multi-lingual Staff
- Parking
- Pet Friendly
- Restaurant
- Villas
- Wheelchair Accessible
In Your Room
- Bathrobes
- Complimentary Coffee/Tea
- Hair Dryer
- Iron/Ironing Board
- Mini Bar
- Safe
Recreation
- Bicycle Rental
- Fitness Center
- Jacuzzi/Whirlpool
- Pool
- Sauna
- Spa
- Tennis Courts
- Water Sports
Services
- Concierge Desk
- Currency Exchange
- Hearing Impaired Services
- Housekeeping -- Twice Daily
- Laundry/Dry Cleaning/Pressing
- Room Service
- Room Service 24-hours
- Salon
- Shoeshine Service
- Turndown Service
- Valet Parking
- Wakeup Calls
- Wedding Services
",{}
Kristiania Lech,"Omesberg 331, Arlberg, Lech, Austria",Lech Zuers /Arlberg Ski Area,Private airstrip () - 55 mi/88 km,28 rooms,Eclectic,Sophisticated,"Adventure, Ski, Local Immersion","Step into the creative world of our mountain magic where vibrant contemporary art, captivating music, collectable textiles, exceptional furniture and late 60ties architecture are mixed with tailor-made service in the dazzling setting of the picturesque village of Lech, Austria.",Allow the hotel's reading butler to enhance your stay with a book from your literary bucket list.,"Virtuoso travelers receive:

- Upgrade on arrival, subject to availability
- Daily Full Breakfast for up to two guests per bedroom
- $100USD equivalent Food & Beverage credit utilized during stay (not combinable, not valid on room rate, no cash value if not redeemed in full)
- Stays of 7+ nights will receive an additional $200 USD Food & Beverage credit (for a total of $300 during stay)
- Early Check-In / Late Check-Out, subject to availability
- Complimentary Wi-Fi

Note: Many of these perks and amenities are only available when you book your stay through a Virtuoso travel advisor.","At the Hotel

Features
- All-inclusive
- Banquet Facilities
- Children's Programs
- Connecting Rooms
- Culinary Program
- Internet Access
- Lounge/Bar
- Meal Plans Available
- Michelin Star Restaurant
- Multi-lingual Staff
- Parking
- Pet Friendly
- Restaurant
In Your Room
- Bathrobes
- Butler Service
- Complimentary Newspaper
- Hair Dryer
- Mini Bar
- Safe
- Slippers
Recreation
- Fitness Center
- Jacuzzi/Whirlpool
- Sauna
- Skiing
- Snow Sports
- Spa
Services
- Babysitting Services
- Concierge Desk
- House Safe
- Laundry/Dry Cleaning/Pressing
- Limousine Service
- Room Service 24-hours
- Shoeshine Service
- Turndown Service
- Valet Parking
- Wakeup Calls
",{}
Kulm Hotel St. Moritz,"Via Veglia 18, St. Moritz, Switzerland",,Private airstrip () - 3 mi/5 km,150 rooms,Classic,Sophisticated,"Adventure, Golf, Ski","Find peak renewal at Kulm Hotel St. Moritz. The alpine resort landmark was named GaultMillau Hotel of the Year 2018, and not simply for its 6,000-foot perch in the Engadine and jaw-dropping views of Lake Saint-Moritz. The 150-room hotel is home to one of the country’s first wellness spas, where renewal comes through a circuit of pools, waterfall Jacuzzi, saltwater grotto, steam rooms, and saunas. Play a round on one of the Alps’ oldest golf courses or follow your favorite mountain pursuit before taking a culinary journey through seven distinctive restaurants, including the one-Michelin-starred K restaurant.","Sunny Bar: Cresta riders meet up here after their races in the moring, it is the oldest sports bar in the Alps. It’s also a popular hangout for musicians during the summer event Festival da Jazz.","Virtuoso travelers receive:

- Upgrade on arrival, subject to availability
- Daily Buffet breakfast for up to two guests per bedroom, served in the restaurant
- $100 USD equivalent Resort or Hotel credit to be utilized during stay (not combinable, not valid on room rate, no cash value if not redeemed in full)
- Early Check-In / Late Check-Out, subject to availability
- Complimentary Wi-Fi

Note: Many of these perks and amenities are only available when you book your stay through a Virtuoso travel advisor.","At the Hotel

Features
- 24-hour Security
- Banquet Facilities
- Business Center
- Children's Programs
- Conference Facilities
- Connecting Rooms
- Culinary Program
- Internet Access
- Lounge/Bar
- Meal Plans Available
- Multi-lingual Staff
- Nightclub
- Parking
- Pet Friendly
- Restaurant
- Shopping
- Wheelchair Accessible
In Your Room
- Bathrobes
- Complimentary Coffee/Tea
- Complimentary Newspaper
- Hair Dryer
- Mini Bar
- Safe
- Slippers
Recreation
- Bicycle Rental
- Fitness Center
- Golf
- Horseback Riding
- Jacuzzi/Whirlpool
- Pool
- Sauna
- Skiing
- Snow Sports
- Spa
- Tennis Courts
- Water Sports
Services
- Babysitting Services
- Concierge Desk
- Currency Exchange
- House Safe
- Laundry/Dry Cleaning/Pressing
- Limousine Service
- Room Service
- Room Service 24-hours
- Shoeshine Service
- Turndown Service
- Valet Parking
- Wakeup Calls
",{}
Kura Boutique Hotel,"Private Road, Provincia de Puntarenas, Uvita de Osa, Uvita, Costa Rica",,,,,,"Adventure, Beach, Seclusion","Contemporary and playful in design, and yet surrounded by lush rain-forest canopy, Kurà is a dynamic concept fusing sustainability and natural beauty. On Costa Rica’s south Pacific Coast, this adults-only resort overlooks Marino Ballena National Park and comprises just eight minimalist, open-floor suites with walls of windows for uninterrupted views across the rain forest and azure ocean. Lounge in a two-person hammock on the veranda or swim into the sunset in the stunning infinity-edge pool. Food is grown on-site or sourced from local artisan producers; activities focus on wellness, nature, and local culture.",,,,{}
"La Bobadilla, a Royal Hideaway Hotel","Finca La Bobadilla, Apdo. 144, Carretera Salinas - V&#xAA; Tapia, Km. 65,5, Loja, Spain",,,,,,"Landmarks, Local Immersion, Ecotourism","With architecture reminiscent of a typical Andalusian village, the five-star La Bobadilla, a Royal Hideaway Hotel is striking. Just 72 spacious rooms, all with fine wood and marble and brick accents, house the fortunate guests who flock here for the natural beauty and the peace and quiet. The estate boasts its own Mediterranean chapel, flower-lined walkways, and a luxurious 1,000-square-meter pool surrounded by palms. The spa is sublime, with its olive oil treatments and Finnish and Turkish saunas. Come evening, dine in one of two restaurants: La Finca, for its creative cuisine, or El Cortijo, for its traditional Spanish offerings.",,,,{}
La Bouitte,"Hameau de St Marcel, Saint-Martin-de-Belleville, France",,,,,,"Local Immersion, Wellness, Ski","Three-Michelin-starred cuisine is a family affair at La Bouitte. Father-and-son team René and Maxime Meilleur run one of France’s most revered restaurants in this cozy, chalet-style hotel, tucked away in a sleepy hamlet in the heart of Les Trois Vallées, the world’s largest ski area. The ambience is warm and convivial; 15 rustic-chic rooms balance the chunky wooden furnishings, paneled walls, and beamed ceilings with soft pastels and pleasant touches, such as stenciling and hearts cut into wood. The small spa uses extracts from local alpine plants; an outdoor whirlpool offers peak panorama views.",,,,{}
La Cantera Resort & Spa,"16641 La Cantera Parkway, San Antonio, Texas, United States",San Antonio Hill Country,San Antonio International (SAT) - 10 mi/16 km,496 rooms,Classic,Sophisticated,"Golf, Wellness, Local Immersion","Elevate your Lone Star stay at La Cantera Resort & Spa. Situated atop the highest point in San Antonio, the resort will give you the perfect vantage over the beautiful Texas Hill Country. The 496 renovated guest rooms, suites, and villas are surrounded by 18 holes of championship golf, 11 restaurants and bars, elaborate pool decks, luxe cabanas, and the resort’s 25,000-square-foot, world-class spa, Loma de Vida Spa & Wellness. The most recent addition to dining is Signature, an elevated French inspired menu. Welcome to your Hill Country oasis.","Seven, the resort’s adults-only floor, provides extra perks, such as private access, valet parking, and an exclusive lounge with daily breakfast and cocktail service.","Virtuoso travelers receive:

- Upgrade on arrival, subject to availability
- Daily Full breakfast for up to two guests per bedroom, served in the restaurant
- $100 USD Resort or Hotel credit to be utilized during stay (not combinable, not valid on room rate, no cash value if not redeemed in full)
- Bookings in our Villas, One Bedroom Suites, or Presidential Suites will receive a personalized welcome amenity, created by our culinary team and delivered by room service (travel advisors please contact to pre-arrange and advise of client preferences, allergies, etc)
- Early Check-In / Late Check-Out, subject to availability
- Complimentary Wi-Fi

Note: Many of these perks and amenities are only available when you book your stay through a Virtuoso travel advisor.","At the Hotel

Features
- Air Conditioning
- Banquet Facilities
- Business Center
- Children's Programs
- Club Floor
- Conference Facilities
- Connecting Rooms
- Culinary Program
- Lounge/Bar
- Parking
- Restaurant
Recreation
- Fitness Center
- Golf
- Pool
- Spa
","{'recommended_percentage': '94', 'reviews': [{'recommended': True, 'review_date': '12 Sep 2023', 'headline': 'Annual Anniversary Trip!', 'reviewer_name': 'By: Heather Leon', 'review_content': 'Fantastic!  This is our second year and we love staying on Seven. The private checkin, complimentary happy hour and private concierge are all amazing. We love the Sky Loft couples massage at the spa along with the spa lounge, sauna and herbal steam room. The adult pool cabana was well worth it and our server Victoria was amazing!  ⭐️⭐️⭐️⭐️⭐️'}, {'recommended': True, 'review_date': '06 Aug 2023', 'headline': 'Highly recommend Lauren!!!', 'reviewer_name': 'By: Carlisle', 'review_content': 'I am thrilled with our experience at la cantera! I was hosting a 40th birthday party for 30 people at the cabanas. Lauren handled reserving the 2 poolside cabanas and she booked the hotel rooms for the guests - she managed to upgrade all of us to the VIP 7th floor and a full extra day at the spa with 4pm checkout. We all got free gourmet breakfasts and each received a $100 resort credit to go towards our meals and drinks. We had a blast and I’ll only use Lauren from\nNow on to book all my hotels and trips.'}, {'recommended': True, 'review_date': '25 Sep 2022', 'headline': 'La Cantera Getaway', 'reviewer_name': 'By: Rick Goldman', 'review_content': 'Great resort. Need to book early for room selection and spa appointments'}, {'recommended': False, 'review_date': '17 Jul 2022', 'headline': '50-50', 'reviewer_name': 'By: BaronG', 'review_content': 'The resort offers great infrastructure and nice outdoor spaces. The green is well kept and there are plenty of areas to seat outside to enjoy a drink with friends. Unfortunately, most common areas are not very clean; the pillows of the outdoor chairs have stains all over. The chairs in the main restaurant terrace are in bed shape and need replacement. The club lounge (""seven"") was also quite dirty. When we entered the reserved check-in area, we noticed crumbs and dropped food on the floor; not a great first impression. The hotel does not offer turn down service, which was a great disappointment, and food quality in the 2 main restaurants was ok. A big plus was the new spa which offered an oasis of tranquillity and a wonderful infinity pool overlooking the hill country. The resort might be a good spot for families, not so much for couples looking for a sophisticated getaway'}]}"
